year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1950,-1.3433332,0.18502252,-1.5283557,-1.1583108,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1951,1951,-0.51,0.3260368,-0.8360368,-0.18396318,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1952,1952,0.41333333,0.10214367,0.31118965,0.515477,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1953,1953,0.54333335,0.12503333,0.41830003,0.6683667,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1954,1954,0.39333332,0.4104063,-0.017072976,0.8037396,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1955,1955,-0.66333336,0.037859388,-0.70119274,-0.625474,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1956,1956,-0.8333333,0.24826063,-1.081594,-0.5850727,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1957,1957,0.07333333,0.33020195,-0.25686863,0.40353528,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1958,1958,1.5799999,0.27874717,1.3012527,1.8587471,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1959,1959,0.5833333,0.05507572,0.5282576,0.638409,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1960,1960,-0.09,0.017320508,-0.10732051,-0.0726795,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1961,1961,0.036666665,0.0057735024,0.030893162,0.04244017,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1962,1962,-0.21999998,0.019999996,-0.23999998,-0.19999999,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1963,1963,-0.13333334,0.27537853,-0.40871185,0.14204518,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1964,1964,0.60333335,0.47521928,0.12811407,1.0785526,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1965,1965,-0.31333333,0.26159763,-0.57493097,-0.0517357,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1966,1966,1.1733333,0.19502136,0.9783119,1.3683547,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1967,1967,-0.47333333,0.060277127,-0.53361046,-0.4130562,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1968,1968,-0.6666667,0.064291015,-0.7309577,-0.6023757,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1969,1969,1.0566667,0.09451632,0.9621504,1.151183,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1970,1970,0.38,0.11532562,0.26467437,0.49532562,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1971,1971,-1.2866668,0.14468355,-1.4313504,-1.1419832,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1972,1972,-0.33333334,0.38527045,-0.7186038,0.051937103,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1973,1973,1.21,0.6509224,0.5590776,1.8609225,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1974,1974,-1.54,0.30512294,-1.8451229,-1.234877,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1975,1975,-0.58666664,0.056862388,-0.64352906,-0.5298042,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1976,1976,-1.1533333,0.4152509,-1.5685842,-0.7380824,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1977,1977,0.56333333,0.19655363,0.36677969,0.759887,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1978,1978,0.39,0.3160696,0.07393038,0.7060696,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1979,1979,0.1,0.08888195,0.011118054,0.18888195,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1980,1980,0.46333334,0.12503332,0.33830002,0.5883666,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1981,1981,-0.41,0.13076697,-0.54076695,-0.27923304,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1982,1982,0.07,0.12,-0.049999997,0.19,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1983,1983,1.88,0.32186958,1.5581304,2.2018695,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1984,1984,-0.45333335,0.13316658,-0.5864999,-0.32016677,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1985,1985,-0.8866666,0.13868427,-1.0253508,-0.7479823,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1986,1986,-0.42333332,0.09865766,-0.52199095,-0.32467565,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1987,1987,1.16,0.08888199,1.071118,1.2488819,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1988,1988,0.49666667,0.33709544,0.15957123,0.8337621,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1989,1989,-1.4,0.30610457,-1.7061045,-1.0938954,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1990,1990,0.21,0.07,0.13999999,0.28,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1991,1991,0.29666665,0.10016653,0.19650012,0.39683318,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1992,1992,1.6066667,0.11676187,1.4899048,1.7234286,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1993,1993,0.29666665,0.20502032,0.09164633,0.501687,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1994,1994,0.1,0.060827628,0.039172374,0.16082764,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1995,1995,0.7366667,0.21548395,0.5211827,0.95215064,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1996,1996,-0.74666667,0.15502688,-0.9016936,-0.59163976,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1997,1997,-0.32000002,0.20297784,-0.5229778,-0.11702219,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1998,1998,1.87,0.40336084,1.4666392,2.2733607,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
1999,1999,-1.3066667,0.24006939,-1.5467361,-1.0665973,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2000,2000,-1.38,0.2961418,-1.6761417,-1.0838583,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2001,2001,-0.5466667,0.122202024,-0.6688687,-0.42446464,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2002,2002,-0.010000001,0.12489996,-0.13489996,0.11489996,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2003,2003,0.6433334,0.2702468,0.37308657,0.9135802,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2004,2004,0.30333334,0.07023769,0.23309565,0.37357104,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2005,2005,0.5566667,0.097125344,0.45954132,0.653792,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2006,2006,-0.73,0.14422207,-0.8742221,-0.58577794,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2007,2007,0.25333336,0.39106694,-0.13773358,0.6444003,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2008,2008,-1.4833332,0.17785764,-1.6611909,-1.3054756,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2009,2009,-0.75,0.12489997,-0.8749,-0.6251,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2010,2010,1.1866666,0.33126023,0.8554064,1.5179268,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2011,2011,-1.18,0.245153,-1.4251529,-0.93484694,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2012,2012,-0.72333336,0.13503088,-0.8583642,-0.5883025,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2013,2013,-0.4,0.051961526,-0.45196152,-0.3480385,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2014,2014,-0.38333333,0.10016652,-0.48349985,-0.2831668,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2015,2015,0.51666665,0.04163332,0.47503334,0.55829996,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2016,2016,2.0666668,0.45445937,1.6122074,2.5211263,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2017,2017,-0.14999999,0.19519222,-0.3451922,0.045192227,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2018,2018,-0.8233333,0.11239812,-0.9357314,-0.71093524,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2019,2019,0.7266667,0.020816663,0.70585,0.7474834,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2020,2020,0.46,0.05291502,0.407085,0.512915,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2021,2021,-0.94,0.10535652,-1.0453565,-0.8346435,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2022,2022,-0.96333337,0.030550508,-0.99388385,-0.9327829,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2023,2023,-0.42,0.2651415,-0.68514144,-0.1548585,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2024,2024,1.4666667,0.32020825,1.1464584,1.786875,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
2025,2025,-0.38333333,0.20502031,-0.58835363,-0.17831302,ONI,Winter Oceanic Nino Index,nan,nan,nan,1.0
